"Tarih","Saat","Pozitif Dengesizlik Miktarý (MWh)","Negatif Dengesizlik Miktarý (MWh)"
"01/01/2019","00:00","2.855,14","-974,29"
"01/01/2019","01:00","1.919,99","-1.257,32"
"01/01/2019","02:00","2.191,66","-1.138,42"
"01/01/2019","03:00","2.009,78","-1.180,72"
"01/01/2019","04:00","2.149,18","-907,88"
"01/01/2019","05:00","2.337,61","-851,99"
"01/01/2019","06:00","2.322,86","-884,93"
"01/01/2019","07:00","2.135,98","-803,95"
"01/01/2019","08:00","2.510,20","-630,09"
"01/01/2019","09:00","2.774,24","-717,61"
"01/01/2019","10:00","2.781,81","-851,46"
"01/01/2019","11:00","2.860,99","-1.220,53"
"01/01/2019","12:00","2.454,55","-1.641,45"
"01/01/2019","13:00","1.996,30","-1.943,17"
"01/01/2019","14:00","1.752,07","-1.957,14"
"01/01/2019","15:00","1.873,97","-2.078,64"
"01/01/2019","16:00","2.292,69","-1.771,60"
"01/01/2019","17:00","2.296,37","-1.258,10"
"01/01/2019","18:00","2.192,76","-1.128,35"
"01/01/2019","19:00","2.266,36","-2.282,56"
"01/01/2019","20:00","2.264,46","-1.824,94"
"01/01/2019","21:00","2.081,32","-1.161,70"
"01/01/2019","22:00","1.781,74","-1.300,43"
"01/01/2019","23:00","1.366,24","-1.623,59"
"02/01/2019","00:00","2.266,60","-917,44"
"02/01/2019","01:00","1.985,05","-502,46"
"02/01/2019","02:00","1.909,44","-473,54"
"02/01/2019","03:00","1.751,11","-528,56"
"02/01/2019","04:00","1.945,74","-696,40"
"02/01/2019","05:00","2.078,76","-669,33"
"02/01/2019","06:00","2.810,28","-756,65"
"02/01/2019","07:00","2.334,77","-602,58"
"02/01/2019","08:00","2.143,95","-1.363,83"
"02/01/2019","09:00","2.057,61","-1.461,99"
"02/01/2019","10:00","2.206,45","-989,91"
"02/01/2019","11:00","1.962,12","-1.183,34"
"02/01/2019","12:00","1.596,79","-1.246,94"
"02/01/2019","13:00","1.653,66","-1.316,49"
"02/01/2019","14:00","1.396,37","-1.398,47"
"02/01/2019","15:00","1.246,34","-1.273,09"
"02/01/2019","16:00","1.142,15","-1.103,22"
"02/01/2019","17:00","1.470,49","-1.373,50"
"02/01/2019","18:00","1.848,58","-1.095,35"
"02/01/2019","19:00","2.063,69","-1.019,13"
"02/01/2019","20:00","2.195,31","-817,10"
"02/01/2019","21:00","2.086,00","-973,58"
"02/01/2019","22:00","1.941,45","-998,51"
"02/01/2019","23:00","2.116,25","-1.013,36"
"03/01/2019","00:00","1.975,03","-404,95"
"03/01/2019","01:00","1.556,07","-790,34"
"03/01/2019","02:00","1.312,38","-580,67"
"03/01/2019","03:00","1.374,27","-406,50"
"03/01/2019","04:00","1.278,53","-454,80"
"03/01/2019","05:00","1.518,62","-470,35"
"03/01/2019","06:00","1.464,39","-418,24"
"03/01/2019","07:00","1.447,84","-425,02"
"03/01/2019","08:00","1.254,04","-762,12"
"03/01/2019","09:00","1.695,01","-959,04"
"03/01/2019","10:00","1.640,11","-757,93"
"03/01/2019","11:00","1.901,50","-823,47"
"03/01/2019","12:00","1.850,25","-921,76"
"03/01/2019","13:00","1.898,00","-1.070,46"
"03/01/2019","14:00","1.591,60","-1.262,68"
"03/01/2019","15:00","1.469,05","-1.077,42"
"03/01/2019","16:00","1.443,46","-880,36"
"03/01/2019","17:00","1.934,80","-559,32"
"03/01/2019","18:00","1.521,18","-887,64"
"03/01/2019","19:00","1.519,32","-1.216,59"
"03/01/2019","20:00","1.605,62","-847,06"
"03/01/2019","21:00","1.857,60","-775,95"
"03/01/2019","22:00","1.514,47","-695,20"
"03/01/2019","23:00","1.569,45","-1.107,74"
"04/01/2019","00:00","2.121,05","-332,97"
"04/01/2019","01:00","1.377,00","-464,95"
"04/01/2019","02:00","1.377,59","-531,92"
"04/01/2019","03:00","1.489,22","-548,70"
"04/01/2019","04:00","1.724,46","-810,19"
"04/01/2019","05:00","1.491,44","-869,88"
"04/01/2019","06:00","1.742,98","-762,32"
"04/01/2019","07:00","972,41","-1.122,20"
"04/01/2019","08:00","1.247,05","-1.728,52"
"04/01/2019","09:00","1.766,51","-1.785,92"
"04/01/2019","10:00","1.860,82","-1.432,84"
"04/01/2019","11:00","1.791,44","-1.275,05"
"04/01/2019","12:00","1.703,65","-1.295,09"
"04/01/2019","13:00","2.233,08","-625,63"
"04/01/2019","14:00","2.191,31","-645,82"
"04/01/2019","15:00","2.266,57","-534,17"
"04/01/2019","16:00","2.312,50","-545,16"
"04/01/2019","17:00","2.475,61","-808,78"
"04/01/2019","18:00","2.090,80","-764,30"
"04/01/2019","19:00","2.268,34","-690,21"
"04/01/2019","20:00","2.002,72","-448,43"
